FIVE-STAR BUS FIN LTD,FIVESTAR,60
GUJARAT FLUOROCHEM LTD,FLUOROCHEM,45
ICICIPRAMC - ICICIFMCG,FMCGIETF,50
FEDERAL-MOGUL GOETZE (IND,FMGOETZE,50
FORTIS HEALTHCARE LTD,FORTIS,60
FIRSTSOURCE SOLU. LTD.,FSL,60
GABRIEL INDIA LTD,GABRIEL,60
GAIL (INDIA) LTD,GAIL,60
GALAXY SURFACTANTS LTD,GALAXYSURF,65
GANESHA ECOSPHERE LIMITED,GANECOS,50
GANESH BENZOPLAST LIMITED,GANESHBE,55
GARWARE TECH FIBRES LTD,GARFIBRES,55
THE GE SHPG.LTD,GESHIP,60
GHCL LIMITED,GHCL,60
GIC HOUSING FINANCE LTD,GICHSGFIN,50
GENERAL INS CORP OF INDIA,GICRE,55
GILLETTE INDIA LTD,GILLETTE,65
GUJ IND POW CO. LTD,GIPCL,50
GLAND PHARMA LIMITED,GLAND,50
GLAXOSMITHKLINE PHARMA LT,GLAXO,45
GLENMARK PHARMACEUTICALS,GLENMARK,65
GLOBUS SPIRITS LTD,GLOBUSSPR,50
GUJARAT MINERAL DEV CORP,GMDCLTD,50
GMM PFAUDLER LIMITED,GMMPFAUDLR,60
GMR AIRPORTS LIMITED,GMRAIRPORT,45
GUJ NAR VAL FER & CHEM L,GNFC,50
GO FASHION INDIA LTD,GOCOLORS,55
GODREJ AGROVET LIMITED,GODREJAGRO,60
GODREJ CONSUMER PRODUCTS,GODREJCP,70
GODREJ INDUSTRIES LTD,GODREJIND,45
GODREJ PROPERTIES LTD,GODREJPROP,65
GOKALDAS EXPORTS LTD.,GOKEX,55
GUJARAT PIPAVAV PORT LTD,GPPL,60
GRANULES INDIA LIMITED,GRANULES,65
GRAPHITE INDIA LTD,GRAPHITE,60
GRASIM INDUSTRIES LTD,GRASIM,70
GREAVES COTTON LTD.,GREAVESCOT,50
GREENPANEL INDUSTRIES LTD,GREENPANEL,60
GREENPLY INDUSTRIES LTD,GREENPLY,55
GRINDWELL NORTON LIMITED,GRINDWELL,60
GUJ STATE FERT & CHEM LTD,GSFC,60
GUJARAT STATE PETRO LTD,GSPL,65
GUJARAT ALKALIES & CHEM,GUJALKALI,55
GUJARAT GAS LIMITED,GUJGASLTD,65
GULF OIL LUB. IND. LTD.,GULFOILLUB,50
HINDUSTAN AERONAUTICS LTD,HAL,60
HAPPIEST MINDS TECHNO LTD,HAPPSTMNDS,60
HATHWAY CABLE & DATACOM,HATHWAY,55
HATSUN AGRO PRODUCT LTD.,HATSUN,55
HAVELLS INDIA LIMITED,HAVELLS,70
HEALTHCARE GLOB. ENT. LTD,HCG,55
HCL TECHNOLOGIES LTD,HCLTECH,70
HDFC AMC LIMITED,HDFCAMC,65
HDFC BANK LTD,HDFCBANK,70
HDFC LIFE INS CO LTD,HDFCLIFE,70
HEG LTD,HEG,50
HEIDELBERGCEMENT (I) LTD,HEIDELBERG,60
HEMISPHERE PROP IND LTD,HEMIPROP,60
HERO MOTOCORP LIMITED,HEROMOTOCO,70
HEUBACH COLORANTS IND LTD,HEUBACHIND,30
HFCL LIMITED,HFCL,50
HIKAL LIMITED,HIKAL,60
HIL LIMITED,HIL,55
HIMATSINGKA SEIDE LTD,HIMATSEIDE,50
HINDALCO INDUSTRIES LTD,HINDALCO,65
HINDUSTAN COPPER LTD,HINDCOPPER,50
HINDUSTAN OIL EXPLORATION,HINDOILEXP,55
HINDUSTAN PETROLEUM CORP,HINDPETRO,65
HINDUSTAN UNILEVER LTD.,HINDUNILVR,70
HOME FIRST FIN CO IND LTD,HOMEFIRST,45
HONEYWELL AUTOMATION IND,HONAUT,40
HUHTAMAKI INDIA LIMITED,HUHTAMAKI,50
ICICIPRAMC - BHARATIWIN,ICICIB22,70
ICICI BANK LTD.,ICICIBANK,70
ICICI LOMBARD GIC LIMITED,ICICIGI,70
ICICI PRU LIFE INS CO LTD,ICICIPRULI,70
INDO COUNT INDUSTRIES LTD,ICIL,40
ICRA LIMITED,ICRA,65
IDBI BANK LIMITED,IDBI,50
IDFC FIRST BANK LIMITED,IDFCFIRSTB,65
INDIAN ENERGY EXC LTD,IEX,65
IFB INDUSTRIES LTD,IFBIND,45
INDRAPRASTHA GAS LTD,IGL,45
I G PETROCHEMICALS LTD,IGPL,50
THE INDIAN HOTELS CO. LTD,INDHOTEL,65
THE INDIA CEMENTS LIMITED,INDIACEM,50
INDIA GLYCOLS LTD,INDIAGLYCO,55
INDIAMART INTERMESH LTD,INDIAMART,65
INDIAN BANK,INDIANB,60
INTERGLOBE AVIATION LTD,INDIGO,70
INDIGO PAINTS LIMITED,INDIGOPNTS,65
INDOCO REMEDIES LTD.,INDOCO,45
INDUSIND BANK LIMITED,INDUSINDBK,35
INDUS TOWERS LIMITED,INDUSTOWER,65
INFIBEAM AVENUES LIMITED,INFIBEAM,50
INFOSYS LIMITED,INFY,70
INGERSOLL-RAND INDIA LTD,INGERRAND,55
INSECTICIDES (I) LTD,INSECTICID,45
INTELLECT DESIGN ARENA,INTELLECT,50
INDIAN OVERSEAS BANK,IOB,55
INDIAN OIL CORP LTD,IOC,65
IOL CHEM AND PHARMA LTD,IOLCP,50
ION EXCHANGE (INDIA) LTD,IONEXCHANG,55
IPCA LABORATORIES LTD,IPCALAB,70
INDIA PESTICIDES LIMITED,IPL,45
IRB INFRA DEV LTD.,IRB,50
IRCON INTERNATIONAL LTD,IRCON,50
